"Year","Period.Desc.","Trade.Flow","Reporter","Commodity.Code","Netweight..kg.","Trade.Value..US.."
2010,"January 2010","Exports","Germany",701,71000,31108
2010,"February 2010","Exports","Germany",701,260000,253296
2010,"March 2010","Exports","Germany",701,743000,418700
2010,"April 2010","Exports","Germany",701,3647180,1983500
2010,"May 2010","Exports","Germany",701,3896384,1621859
2010,"June 2010","Exports","Germany",701,1418800,597633
2010,"June 2010","Exports","Spain",701,45800,24048
2010,"July 2010","Exports","Germany",701,3385120,1837550
2010,"August 2010","Exports","Germany",701,3796520,2347876
2010,"September 2010","Exports","Germany",701,4482520,2893924
2010,"October 2010","Exports","Germany",701,5284580,2902022
2010,"October 2010","Exports","Spain",701,26000,10478
2010,"November 2010","Exports","Germany",701,6126500,2802229
2010,"December 2010","Exports","Germany",701,1161376,673290
2010,"December 2010","Imports","Spain",701,26000,9967
2010,"March 2010","Imports","Rep. of Moldova",701,12000,3060
2010,"March 2010","Exports","United Kingdom",701,20000,14067
2010,"April 2010","Exports","United Kingdom",701,1300000,673026
2010,"May 2010","Exports","Czech Rep.",701,20000,10148
2010,"May 2010","Exports","United Kingdom",701,80200,63610
2010,"May 2010","Exports","Denmark",701,500,565
2010,"August 2010","Exports","Rep. of Moldova",701,22000,7040
2010,"September 2010","Exports","Rep. of Moldova",701,1350745,338262
2010,"October 2010","Exports","Denmark",701,49200,20901
2010,"October 2010","Exports","Rep. of Moldova",701,1984250,426931
2010,"November 2010","Exports","Denmark",701,703500,318689
2010,"November 2010","Exports","Rep. of Moldova",701,5564578,1076682
2010,"December 2010","Exports","United Kingdom",701,4576400,1277898
2010,"December 2010","Exports","Denmark",701,2421000,1010885
2010,"December 2010","Exports","Rep. of Moldova",701,7200299,1362307
2010,"January 2010","Exports","EU-28",701,18516585,3937312
2010,"February 2010","Exports","EU-28",701,14678707,3911615
2010,"March 2010","Exports","EU-28",701,31936445,8662307
2010,"April 2010","Exports","EU-28",701,36493541,13513449
2010,"May 2010","Exports","EU-28",701,43130522,10297466
2010,"June 2010","Exports","EU-28",701,35200679,7210380
2010,"July 2010","Exports","EU-28",701,4670340,2260262
2010,"August 2010","Imports","EU-28",701,22000,3687
2010,"August 2010","Exports","EU-28",701,4817319,2899983
2010,"September 2010","Imports","EU-28",701,59390,23588
2010,"September 2010","Exports","EU-28",701,19460410,8238721
2010,"October 2010","Imports","EU-28",701,39939,21004
2010,"October 2010","Exports","EU-28",701,36476010,14148280
2010,"November 2010","Exports","EU-28",701,90196790,35709957
2010,"November 2010","Imports","EU-28",701,83500,25834
2010,"December 2010","Imports","EU-28",701,26000,9967
2010,"December 2010","Exports","EU-28",701,119017725,47844534
2010,"January 2010","Exports","France",701,1214100,606723
2010,"February 2010","Exports","France",701,775900,515515
2010,"March 2010","Exports","France",701,718100,524878
2010,"April 2010","Exports","France",701,429800,330124
2010,"May 2010","Exports","France",701,1384800,450032
2010,"June 2010","Exports","France",701,751000,232496
2010,"July 2010","Exports","France",701,55000,62997
2010,"August 2010","Exports","France",701,203100,195731
2010,"September 2010","Exports","France",701,1582100,828505
2010,"October 2010","Imports","France",701,19900,12202
2010,"October 2010","Exports","France",701,1837600,941716
